EEP          log10_isochrone_age_yr                    initial_mass                       star_mass                       star_mdot                    he_core_mass                     c_core_mass                           log_L                          log_LH                         log_LHe                        log_Teff                           log_R                           log_g                      surface_h1                     surface_he3                     surface_he4                     surface_c12                     surface_o16                    log_center_T                  log_center_Rho                    center_gamma                       center_h1                      center_he4                      center_c12                           phase
   63         6.0000000000000000E+000         1.3845771158867348E-001         1.3845763609226389E-001        -4.4754362115224983E-014         0.0000000000000000E+000         0.0000000000000000E+000        -9.3152622834195509E-001        -1.0942227251631751E+000        -9.8999999999999972E+001         3.4869414907583574E+000         8.3031056494422065E-002         3.4075252031166854E+000         7.1539490062079947E-001         6.0136491702251786E-005         2.7025513764660997E-001         2.4965358274927031E-003         6.1088852298727282E-003         5.9610706096022970E+000        -1.5169910650186719E-001         2.4600550490583359E-001         7.1539490060315480E-001         2.7025513764660997E-001         2.4965358274927031E-003        -1.0000000000000000E+000
   64         6.0000000000000000E+000         1.4186737191947077E-001         1.4186729319738442E-001        -4.5917430865537532E-014         0.0000000000000000E+000         0.0000000000000000E+000        -9.1102454937247668E-001        -1.0870351203980846E+000        -9.9000000000000000E+001         3.4882015296803939E+000         9.0761818135088254E-002         3.4040719035563116E+000         7.1539473975057977E-001         6.0619102213515562E-005         2.7025513764665715E-001         2.4965358274930600E-003         6.1088852298736007E-003         5.9651740304436274E+000        -1.6233248087141355E-001         2.4137653340440168E-001         7.1539473973294943E-001         2.7025513764665715E-001         2.4965358274930600E-003        -1.0000000000000000E+000
   65         6.0000000000000000E+000         1.4731617294604668E-001         1.4731608878964567E-001        -4.7553577082516923E-014         0.0000000000000000E+000         0.0000000000000000E+000        -8.7701661236272399E-001        -1.0593120893200467E+000        -9.8999999999999986E+001         3.4902029336814153E+000         1.0376297863792028E-001         3.3972593010732264E+000         7.1539445163629367E-001         6.1483444836579079E-005         2.7025513764673254E-001         2.4965358274936299E-003         6.1088852298749946E-003         5.9711788761223978E+000        -1.8108777416300825E-001         2.3395266560401043E-001         7.1539445161873572E-001         2.7025513764673254E-001         2.4965358274936299E-003        -1.0000000000000000E+000
   66         6.0000000000000000E+000         1.4988725159820857E-001         1.4988716480080536E-001        -4.8225140346081077E-014         0.0000000000000000E+000         0.0000000000000000E+000        -8.6103113437248613E-001        -1.0432833675297830E+000        -9.8999999999999986E+001         3.4911478011121484E+000         1.0986598277157358E-001         3.3941081793952392E+000         7.1539431006110854E-001         6.1908170280543007E-005         2.7025513764676806E-001         2.4965358274938987E-003         6.1088852298756520E-003         5.9740548294473044E+000        -1.8982944486445466E-001         2.3044428342254100E-001         7.1539431004367637E-001         2.7025513764676806E-001         2.4965358274938987E-003        -1.0000000000000000E+000
   67         6.0000000000000000E+000         1.5723000707727858E-001         1.5722991344012099E-001        -5.2129273777105596E-014         0.0000000000000000E+000         0.0000000000000000E+000        -8.2986286748538962E-001        -1.0416810264254555E+000        -9.9000000000000000E+001         3.4937768373343889E+000         1.2019204377064024E-001         3.3919192893054944E+000         7.1539403516039768E-001         6.2732872339433106E-005         2.7025513764679054E-001         2.4965358274942964E-003         6.1088852298766252E-003         5.9816653439657044E+000        -2.0238790855487127E-001         2.2470298102809522E-001         7.1539403514314914E-001         2.7025513764679054E-001         2.4965358274942964E-003        -1.0000000000000000E+000
   68         6.0000000000000000E+000         1.6601483977251741E-001         1.6601473766442959E-001        -5.6222109874149925E-014         0.0000000000000000E+000         0.0000000000000000E+000        -7.9447062924320599E-001        -1.0576643299111601E+000        -9.8999999999999986E+001         3.4969099095017135E+000         1.3162201855708347E-001         3.3910106490430594E+000         7.1539373016302843E-001         6.3647864363556528E-005         2.7025513764681586E-001         2.4965358274947665E-003         6.1088852298777753E-003         5.9915159910005720E+000        -2.1490429584657200E-001         2.1791447467600858E-001         7.1539373014654895E-001         2.7025513764681586E-001         2.4965358274947661E-003        -1.0000000000000000E+000
   69         6.0000000000000000E+000         1.7298777931352119E-001         1.7298767022868095E-001        -5.8890210587706400E-014         0.0000000000000000E+000         0.0000000000000000E+000        -7.6774599299795676E-001        -1.0892018862528512E+000        -9.8999999999999972E+001         3.4993815691520780E+000         1.4004101737897945E-001         3.3915964497024516E+000         7.1539351050250044E-001         6.4306845881091345E-005         2.7025513764683601E-001         2.4965358274951386E-003         6.1088852298786852E-003         5.9999642296864684E+000        -2.2294970297098568E-001         2.1252554917417971E-001         7.1539351048716482E-001         2.7025513764683601E-001         2.4965358274951386E-003        -1.0000000000000000E+000
   70         6.0000000000000000E+000         1.8032928794745604E-001         1.8032917120300182E-001        -6.0941253187948141E-014         0.0000000000000000E+000         0.0000000000000000E+000        -7.4064256946651741E-001        -1.1386044898721981E+000        -9.8999999999999986E+001         3.5019448016354202E+000         1.4846626417801426E-001         3.3930907252634572E+000         7.1539329563224219E-001         6.4951456585418246E-005         2.7025513764685716E-001         2.4965358274955307E-003         6.1088852298796445E-003         6.0092969272054670E+000        -2.3013266655392137E-001         2.0684575649916714E-001         7.1539329561870590E-001         2.7025513764685716E-001         2.4965358274955307E-003        -1.0000000000000000E+000
   71         6.0000000000000000E+000         1.8694303901470830E-001         1.8694291519425119E-001        -6.2154798588556045E-014         0.0000000000000000E+000         0.0000000000000000E+000        -7.1771900894019014E-001        -1.2104464447678054E+000        -9.8999999999999986E+001         3.5042263482368963E+000         1.5536495123822675E-001         3.3958196188377476E+000         7.1539313168181451E-001         6.5443307805018199E-005         2.7025513764687625E-001         2.4965358274958846E-003         6.1088852298805093E-003         6.0183764528802079E+000        -2.3460504506099400E-001         2.0172475217370756E-001         7.1539313167050012E-001         2.7025513764687625E-001         2.4965358274958846E-003        -1.0000000000000000E+000
   72         6.0000000000000000E+000         1.9315956838435239E-001         1.9315943780898442E-001        -6.2787627095953059E-014         0.0000000000000000E+000         0.0000000000000000E+000        -6.9769692522513671E-001        -1.3176009211293542E+000        -9.8999999999999972E+001         3.5063459644775632E+000         1.6113676061441948E-001         3.3998097006858190E+000         7.1539301243268782E-001         6.5801055125847859E-005         2.7025513764689418E-001         2.4965358274962159E-003         6.1088852298813202E-003         6.0276001036858808E+000        -2.3674466210918008E-001         1.9690928780956721E-001         7.1539301242388686E-001         2.7025513764689418E-001         2.4965358274962163E-003        -1.0000000000000000E+000
